Phone Number,International Plan,Voice mail Plan,Account Length,Total day Charge,Number Customer Service calls,Churn,State,churn_probability,predicted_churn,risk_tier
 409-4734, no, no,167,22.37,4,Yes,KS,0.92,Yes,Critical
 348-9828, no, no,129,28.63,1,No,NJ,0.02,No,Low
 418-8850, no, no,116,24.89,1,No,FL,0.01,No,Low
 330-8351, yes, no,60,31.11,1,No,CA,0.12,No,Low
 347-7773, no, no,128,17.56,0,No,KS,0.0,No,Low
 392-6841, no, yes,47,19.07,0,No,TX,0.03,No,Low
 354-2189, yes, no,40,29.02,3,No,MN,0.17,No,Low
 349-9060, no, no,173,29.33,0,No,AK,0.04,No,Low
 334-1311, no, yes,157,33.03,1,No,OR,0.01,No,Low
 415-3120, no, yes,66,31.93,2,No,MS,0.0,No,Low
 387-5891, yes, yes,50,52.21,0,No,VT,0.17,No,Low
 368-8026, no, no,72,20.09,3,No,UT,0.01,No,Low
 332-9446, no, no,130,26.18,1,No,KS,0.02,No,Low
 393-5284, no, no,143,26.44,1,No,NV,0.0,No,Low
 376-1677, yes, no,89,21.35,1,No,DE,0.08,No,Low
 392-2268, no, no,108,33.88,0,No,IN,0.04,No,Low
 396-4311, no, no,32,26.84,1,No,TX,0.03,No,Low
 363-4005, no, no,166,34.58,2,No,MA,0.01,No,Low
 344-9966, no, no,109,37.77,1,No,VT,0.01,No,Low
 337-7377, no, yes,72,15.78,1,No,CA,0.14,No,Low
 373-7037, no, yes,134,36.86,0,No,IA,0.01,No,Low
 356-7580, no, no,13,32.84,4,No,NH,0.07,No,Low
 390-3401, no, no,90,19.24,3,No,GA,0.07,No,Low
 350-9313, no, yes,111,28.25,3,No,WI,0.01,No,Low
 420-9009, no, yes,101,44.57,1,No,CO,0.02,No,Low
 415-2641, no, no,72,35.33,0,No,SC,0.01,No,Low
 392-4929, no, yes,67,41.72,1,No,MI,0.07,No,Low
 346-5068, no, no,172,48.81,3,Yes,MD,0.79,Yes,Critical
 389-2631, no, yes,154,32.69,2,No,IN,0.01,No,Low
 368-3808, no, no,69,33.01,2,No,ME,0.0,No,Low
 406-8599, no, no,123,35.87,3,No,DC,0.01,No,Low
 386-7456, no, yes,130,24.12,0,No,TN,0.02,No,Low
 357-4936, no, yes,142,37.49,2,No,FL,0.01,No,Low
 397-7411, no, no,29,26.76,1,No,WA,0.03,No,Low
 353-6218, no, yes,87,24.4,0,No,HI,0.0,No,Low
 369-5942, no, no,149,26.52,0,No,NE,0.01,No,Low
 416-8543, yes, no,146,27.22,2,No,TN,0.12,No,Low
 358-4576, yes, no,88,39.97,4,Yes,MD,0.67,Yes,High
 352-5118, yes, yes,119,27.2,5,Yes,NM,0.78,Yes,Critical
 408-2621, no, no,48,32.03,1,No,VT,0.03,No,Low
 353-3994, no, no,135,33.12,1,No,OR,0.01,No,Low
 367-4277, no, no,100,42.13,1,No,IN,0.01,No,Low
 354-3237, no, no,98,37.6,4,No,MO,0.07,No,Low
 394-8504, no, yes,75,20.15,2,No,FL,0.02,No,Low
 370-4139, no, yes,180,39.41,1,No,DC,0.02,No,Low
 382-6135, no, yes,100,36.7,1,No,VT,0.01,No,Low
 359-5718, no, yes,119,36.91,2,No,OH,0.02,No,Low
 385-3111, no, no,86,14.2,0,No,MO,0.03,No,Low
 353-4880, no, yes,155,31.16,1,No,LA,0.01,No,Low
 343-7019, yes, no,78,40.26,1,Yes,IL,0.88,Yes,Critical
 419-6133, no, no,153,32.95,1,No,NJ,0.0,No,Low
 350-7344, no, yes,92,22.78,0,No,IA,0.0,No,Low
 397-6064, no, yes,13,30.02,2,No,WA,0.04,No,Low
 363-6896, no, no,154,32.54,3,No,NE,0.03,No,Low
 416-9021, yes, yes,144,29.72,0,No,CT,0.1,No,Low
 408-3269, no, no,48,46.78,1,No,WV,0.48,No,Medium
 408-9463, no, no,94,29.58,1,No,ND,0.0,No,Low
 340-7062, no, no,139,28.05,1,No,UT,0.05,No,Low
 417-4309, no, no,126,38.88,1,No,MS,0.01,No,Low
 421-2659, no, no,122,18.34,2,No,MN,0.01,No,Low
 383-2017, no, no,139,37.62,1,No,NH,0.03,No,Low
 411-6294, no, no,95,23.99,3,No,LA,0.01,No,Low
 332-9525, no, yes,80,28.29,4,No,ME,0.04,No,Low
 401-5012, no, yes,131,42.43,3,No,KS,0.05,No,Low
 368-8835, no, no,36,30.36,1,No,KS,0.0,No,Low
 351-1382, no, no,180,23.63,2,No,NV,0.04,No,Low
 359-7694, no, no,25,22.83,2,No,MT,0.01,No,Low
 419-5505, no, no,113,36.7,3,No,MT,0.04,No,Low
 341-4570, no, yes,88,30.87,1,No,ID,0.0,No,Low
 366-6991, no, no,120,30.33,1,No,AK,0.0,No,Low
 377-7399, no, no,74,18.09,1,No,UT,0.01,No,Low
 377-9092, no, no,109,29.02,2,No,AR,0.0,No,Low
 373-6681, no, yes,162,31.37,0,No,LA,0.09,No,Low
 417-7736, no, yes,124,27.4,1,No,KS,0.0,No,Low
 393-2812, no, no,177,14.43,2,No,OR,0.03,No,Low
 398-3176, no, no,91,37.04,1,No,WI,0.03,No,Low
 334-8694, no, no,105,46.05,0,Yes,CO,0.85,Yes,Critical
 369-5449, no, no,24,41.31,0,Yes,KS,0.66,Yes,High
 380-5246, no, no,48,21.79,0,No,IL,0.07,No,Low
 390-3873, no, no,86,21.47,2,No,IA,0.04,No,Low
 354-4568, no, no,163,30.38,4,No,AZ,0.27,No,Low
 339-6968, no, no,91,27.03,0,No,NE,0.0,No,Low
 379-5933, no, no,56,25.65,3,No,ID,0.01,No,Low
 365-5682, yes, yes,147,37.38,3,No,OH,0.01,No,Low
 382-8518, no, no,64,28.56,2,No,TX,0.01,No,Low
 356-8449, no, yes,108,27.56,4,Yes,TN,0.76,Yes,Critical
 333-3460, no, no,159,33.8,5,No,OK,0.01,No,Low
 375-8596, yes, no,136,43.66,3,No,ND,0.15,No,Low
 384-5907, no, yes,116,31.08,1,No,MT,0.01,No,Low
 373-2903, no, yes,45,33.46,1,No,NC,0.0,No,Low
 361-7702, no, no,122,23.82,2,No,MN,0.03,No,Low
 388-5850, no, no,138,33.03,5,No,MN,0.06,No,Low
 405-6298, no, no,132,19.99,1,No,MA,0.0,No,Low
 368-2074, yes, no,101,32.93,0,No,PA,0.01,No,Low
 328-5050, no, no,58,41.33,2,No,GA,0.09,No,Low
 395-5783, no, no,81,24.72,1,No,NV,0.03,No,Low
 420-7301, no, no,87,28.75,3,No,TX,0.01,No,Low
 328-2478, no, no,116,38.98,2,No,ME,0.0,No,Low
 381-2460, yes, no,85,33.52,4,No,RI,0.1,No,Low
 390-9811, no, yes,62,31.69,2,Yes,MN,0.03,No,Low
 373-5670, no, no,90,12.94,0,No,NH,0.01,No,Low
 351-7016, no, no,98,27.68,2,No,TN,0.0,No,Low
 394-9934, no, no,73,30.99,1,No,UT,0.04,No,Low
 422-8268, yes, no,107,33.05,2,No,RI,0.03,No,Low
 373-7690, no, yes,55,32.18,2,No,NH,0.0,No,Low
 366-9781, no, yes,76,27.22,3,No,AK,0.02,No,Low
 404-5427, no, no,30,24.65,3,No,NC,0.01,No,Low
 389-9783, no, no,157,37.52,4,No,AZ,0.07,No,Low
 351-7005, no, yes,40,38.2,1,Yes,MA,0.68,Yes,High
 348-2009, no, no,72,24.99,1,No,TN,0.0,No,Low
 340-4236, no, yes,95,44.34,1,No,WY,0.01,No,Low
 348-1528, no, no,42,26.42,0,No,IA,0.01,No,Low
 365-5039, no, no,86,28.25,1,No,IN,0.01,No,Low
 411-1810, no, no,131,36.01,0,No,NJ,0.03,No,Low
 364-7644, no, yes,55,22.19,4,Yes,FL,0.8,Yes,Critical
 335-9066, no, no,74,27.66,0,No,MT,0.02,No,Low
 362-7581, yes, yes,81,40.31,1,No,ND,0.17,No,Low
 346-1095, no, no,81,28.25,4,No,MI,0.1,No,Low
 357-9136, no, no,28,20.69,6,Yes,MT,0.89,Yes,Critical
 390-7863, no, no,111,29.99,0,No,AL,0.01,No,Low
 344-2416, no, yes,3,11.46,2,No,NV,0.04,No,Low
 373-1448, no, no,51,39.05,1,Yes,MI,0.72,Yes,High
 360-7076, no, yes,68,29.92,1,No,FL,0.05,No,Low
 413-2241, no, no,163,42.11,0,Yes,NY,0.78,Yes,Critical
 343-3961, no, no,87,19.62,2,No,KS,0.06,No,Low
 375-4107, no, no,58,19.07,0,Yes,NC,0.66,Yes,High
 414-7410, no, no,109,27.64,0,No,MN,0.02,No,Low
 351-2535, no, no,111,39.0,4,No,RI,0.14,No,Low
 416-9615, no, no,144,23.73,2,No,UT,0.03,No,Low
 377-1293, no, no,135,44.85,5,Yes,OR,0.49,No,Medium
 388-6479, no, yes,109,36.98,4,No,SC,0.06,No,Low
 390-2755, no, yes,107,19.43,1,No,IL,0.0,No,Low
 340-5930, no, no,149,33.37,2,No,OH,0.02,No,Low
 401-3622, no, no,56,43.04,1,No,MA,0.05,No,Low
 382-1104, no, no,129,16.66,0,No,OR,0.02,No,Low
 355-9324, no, no,92,42.4,0,No,CA,0.26,No,Low
 393-4843, no, yes,67,22.03,1,No,WV,0.02,No,Low
 401-4052, no, no,120,37.62,0,No,VT,0.03,No,Low
 385-1830, no, no,166,37.52,1,No,ID,0.02,No,Low
 348-7409, no, no,66,14.89,1,No,OR,0.02,No,Low
 361-4910, no, no,76,34.61,0,No,GA,0.0,No,Low
 415-6578, no, no,79,36.31,2,No,ME,0.03,No,Low
 395-5015, no, yes,98,30.87,2,No,HI,0.01,No,Low
 369-6012, no, yes,141,36.62,1,No,AZ,0.0,No,Low
 394-4520, no, no,49,45.27,2,Yes,UT,0.94,Yes,Critical
 380-5873, no, no,46,33.86,3,No,IA,0.0,No,Low
 372-5384, no, no,137,19.55,3,No,CT,0.08,No,Low
 419-1863, no, no,171,45.99,1,Yes,WA,0.85,Yes,Critical
 352-5697, no, no,10,37.77,1,No,VA,0.05,No,Low
 373-4274, no, no,88,10.52,3,No,CO,0.06,No,Low
 382-4024, no, no,89,23.99,2,No,LA,0.03,No,Low
 395-9215, no, no,82,32.16,3,Yes,TX,0.06,No,Low
 331-9149, no, no,139,33.32,3,No,SD,0.03,No,Low
 347-3958, no, no,87,29.17,0,No,VA,0.0,No,Low
 389-2540, yes, no,137,29.58,2,No,NY,0.21,No,Low
 399-3083, no, no,45,13.36,1,Yes,WA,0.65,Yes,High
 420-8308, no, no,90,34.15,1,No,WI,0.0,No,Low
 384-7724, no, no,103,24.02,1,No,TN,0.04,No,Low
 389-2114, no, no,100,40.09,2,No,CT,0.13,No,Low
 335-4414, no, no,110,31.47,3,No,WA,0.02,No,Low
 370-5361, no, no,124,43.23,2,No,NH,0.07,No,Low
 374-5965, no, no,10,31.11,2,No,MT,0.02,No,Low
 420-6414, no, yes,89,27.8,2,No,NE,0.02,No,Low
 392-2708, no, no,121,35.34,2,No,WA,0.01,No,Low
 352-7234, no, no,101,42.26,3,No,WI,0.04,No,Low
 337-9878, no, yes,103,31.52,2,No,AR,0.01,No,Low
 350-7288, no, no,51,33.63,1,No,WI,0.03,No,Low
 415-8448, yes, no,2,22.46,2,Yes,DE,0.65,Yes,High
 392-6331, no, no,111,33.51,0,No,NH,0.0,No,Low
 392-3315, no, no,118,26.28,2,No,VA,0.0,No,Low
 382-5401, no, yes,17,26.03,6,Yes,TN,0.77,Yes,Critical
 389-7012, no, no,130,35.9,2,No,VA,0.01,No,Low
 411-4714, no, no,193,16.46,2,Yes,ID,0.63,Yes,High
 343-3846, no, no,114,29.24,1,No,TN,0.03,No,Low
 370-4395, no, no,137,23.99,2,No,AZ,0.02,No,Low
 422-4394, no, yes,185,25.69,2,No,MT,0.02,No,Low
 405-1780, no, no,101,35.63,3,No,OK,0.01,No,Low
 393-2220, no, yes,95,41.99,3,No,ID,0.0,No,Low
 355-8299, no, yes,7,37.64,1,No,NV,0.0,No,Low
 379-8681, no, no,126,54.62,1,Yes,KS,0.89,Yes,Critical
 409-7034, no, no,71,41.43,0,No,WY,0.19,No,Low
 358-1922, no, no,124,42.76,3,No,MS,0.31,No,Medium
 346-1629, yes, no,97,40.27,0,Yes,WY,0.7,Yes,High
 347-1870, no, no,28,27.15,2,No,TX,0.03,No,Low
 374-9576, yes, no,90,25.19,4,Yes,WA,0.9,Yes,Critical
 380-1096, no, no,190,25.65,1,No,HI,0.04,No,Low
 396-5790, no, yes,31,35.79,1,No,IL,0.0,No,Low
 356-5244, no, yes,52,29.05,2,No,AK,0.01,No,Low
 341-1412, no, no,73,43.3,0,No,MD,0.09,No,Low
 387-7371, no, no,111,48.35,0,Yes,MA,0.74,Yes,High
 392-2555, no, no,98,0.0,4,Yes,SD,0.88,Yes,Critical
 403-9167, yes, no,106,22.73,1,Yes,PA,0.92,Yes,Critical
 338-6550, no, no,111,38.23,0,No,NC,0.01,No,Low
 357-5801, no, no,59,25.81,1,No,VT,0.0,No,Low
 403-1953, no, yes,71,24.04,2,No,KY,0.0,No,Low
 357-6039, no, no,55,48.57,0,Yes,WA,0.96,Yes,Critical
 388-9653, no, no,13,9.93,1,No,LA,0.0,No,Low
 359-2915, no, yes,136,15.37,0,No,WA,0.02,No,Low
 381-4562, no, no,123,19.45,0,No,ME,0.01,No,Low
 406-2213, no, no,105,25.11,2,No,WI,0.0,No,Low
 330-6436, no, yes,50,51.46,3,No,TX,0.08,No,Low
 332-4289, no, no,118,23.14,1,No,IA,0.0,No,Low
 386-3596, no, no,97,28.85,3,No,AZ,0.0,No,Low
 337-3740, no, no,51,38.62,0,No,ND,0.04,No,Low
 414-1496, no, no,73,37.03,1,Yes,VT,0.04,No,Low
 349-7291, no, no,35,21.11,2,No,HI,0.0,No,Low
 385-1985, no, no,64,35.05,1,No,WY,0.0,No,Low
 329-7102, no, no,63,22.59,3,No,WV,0.01,No,Low
 394-2553, no, yes,117,17.83,3,No,OK,0.01,No,Low
 339-1330, no, no,115,41.65,1,Yes,CT,0.82,Yes,Critical
 398-1959, no, no,162,31.37,1,No,UT,0.0,No,Low
 408-7015, no, no,89,15.22,3,No,NY,0.04,No,Low
 384-9254, yes, no,94,40.05,1,No,VA,0.03,No,Low
 355-9475, no, no,129,31.62,4,No,VT,0.14,No,Low
 334-1337, no, no,86,38.06,1,No,SD,0.01,No,Low
 359-1441, no, no,96,30.52,1,No,PA,0.04,No,Low
 391-5442, no, no,190,28.8,1,No,ND,0.03,No,Low
 374-1551, no, no,80,20.08,1,No,CT,0.02,No,Low
 399-6233, no, no,108,19.04,4,Yes,SC,0.95,Yes,Critical
 337-4749, no, yes,97,28.63,0,No,MI,0.01,No,Low
 403-5552, no, yes,84,36.43,0,No,VT,0.01,No,Low
 405-3097, no, no,65,41.77,4,Yes,OH,0.77,Yes,Critical
 364-9240, no, yes,131,26.62,1,No,VT,0.07,No,Low
 404-9348, yes, yes,58,24.28,1,No,IL,0.07,No,Low
 336-1462, no, no,36,34.41,3,No,MO,0.0,No,Low
 364-8981, no, no,54,19.86,1,No,WI,0.0,No,Low
 412-7606, no, no,45,26.47,1,No,NJ,0.01,No,Low
 380-6342, no, yes,125,40.14,2,No,GA,0.03,No,Low
 418-3017, no, yes,72,23.48,2,No,VT,0.01,No,Low
 367-3648, no, no,141,8.82,3,No,CT,0.04,No,Low
 341-5892, no, no,113,13.82,0,No,AZ,0.04,No,Low
 334-4678, no, yes,20,29.16,0,No,SD,0.03,No,Low
 366-6751, no, no,212,21.42,1,No,CT,0.02,No,Low
 397-8512, yes, no,99,33.52,4,No,IN,0.29,No,Low
 367-9495, no, no,94,33.0,1,No,OH,0.01,No,Low
 379-2991, no, no,40,19.67,1,No,NY,0.01,No,Low
 356-4832, no, yes,86,26.72,3,No,NE,0.01,No,Low
 413-4040, no, no,101,45.85,3,Yes,OK,0.9,Yes,Critical
 366-4444, no, no,170,41.89,0,No,NC,0.06,No,Low
 394-3806, no, no,105,38.66,1,No,HI,0.39,No,Medium
 368-5647, no, no,103,32.27,0,No,UT,0.03,No,Low
 412-1076, yes, yes,140,32.11,4,No,MD,0.14,No,Low
 413-7655, no, no,101,0.0,1,No,VT,0.14,No,Low
 371-2316, no, yes,98,18.79,1,No,TX,0.02,No,Low
 420-3346, no, no,104,28.49,4,No,AZ,0.21,No,Low
 367-3971, no, no,115,22.44,3,No,VA,0.01,No,Low
 417-5813, no, no,112,28.53,0,No,WI,0.01,No,Low
 421-8535, no, no,70,36.28,1,No,NE,0.01,No,Low
 375-1721, no, no,126,29.82,0,No,KY,0.0,No,Low
 331-8484, no, yes,87,14.04,3,No,NV,0.03,No,Low
 366-5829, no, no,125,24.34,4,Yes,MT,0.87,Yes,Critical
 367-7906, no, no,86,21.34,1,No,MO,0.0,No,Low
 412-2520, no, yes,73,13.99,6,Yes,MS,0.88,Yes,Critical
 386-9177, no, no,232,28.15,1,No,NM,0.02,No,Low
 420-6780, no, yes,1,31.13,0,No,NJ,0.07,No,Low
 401-1454, no, no,133,27.56,1,No,NH,0.01,No,Low
 379-2508, no, no,103,28.32,1,No,NC,0.0,No,Low
 353-3492, no, yes,131,23.1,1,No,MT,0.0,No,Low
 406-4840, no, yes,95,28.17,0,No,SD,0.0,No,Low
 391-7982, no, no,182,29.94,1,No,VA,0.01,No,Low
 379-9821, no, no,99,24.19,0,No,LA,0.04,No,Low
 398-7414, no, no,27,30.19,3,No,NV,0.02,No,Low
 338-8566, no, no,141,14.14,1,No,AK,0.0,No,Low
 397-3058, yes, yes,29,39.95,2,No,OH,0.12,No,Low
 389-8096, no, no,65,17.97,2,No,NM,0.0,No,Low
 393-6840, yes, no,81,25.4,3,Yes,MI,0.93,Yes,Critical
 360-7404, no, yes,37,45.0,0,No,MN,0.03,No,Low
 411-5740, no, yes,107,27.25,1,No,WY,0.0,No,Low
 412-3726, yes, yes,127,16.3,1,No,WY,0.24,No,Low
 372-7326, no, no,78,23.92,0,No,WA,0.05,No,Low
 338-9873, no, no,55,20.35,2,No,NM,0.03,No,Low
 383-4322, no, yes,86,16.98,2,No,VA,0.03,No,Low
 401-7654, no, no,176,42.65,2,No,RI,0.03,No,Low
 410-5455, yes, no,96,34.1,2,No,AL,0.1,No,Low
 419-4310, no, yes,11,35.67,1,No,WV,0.0,No,Low
 367-2056, no, yes,48,33.66,1,No,WV,0.02,No,Low
 363-6695, no, no,127,40.77,1,No,NJ,0.02,No,Low
 374-6217, no, no,63,27.97,0,No,TN,0.0,No,Low
 337-9569, no, no,79,37.55,1,No,MI,0.07,No,Low
 350-9720, no, yes,47,19.18,2,No,UT,0.03,No,Low
 380-4080, yes, yes,89,19.14,0,Yes,IL,0.83,Yes,Critical
 333-7460, no, yes,83,38.49,1,No,MI,0.03,No,Low
 378-3722, yes, yes,126,41.63,4,No,WI,0.06,No,Low
 353-9339, no, no,60,34.54,2,No,ND,0.0,No,Low
 386-6535, no, no,122,23.24,0,No,VT,0.0,No,Low
 403-5575, no, no,136,25.94,1,No,WA,0.1,No,Low
 331-5962, no, yes,172,46.73,1,No,NC,0.01,No,Low
 390-9627, no, no,102,33.27,1,Yes,ME,0.02,No,Low
 406-4560, yes, no,113,34.73,1,No,SD,0.05,No,Low
 359-6931, no, no,79,37.79,3,No,WV,0.03,No,Low
 331-7342, no, yes,55,37.83,1,No,ID,0.03,No,Low
 367-2227, no, yes,111,21.9,2,No,LA,0.02,No,Low
 335-8836, no, no,160,29.63,0,No,GA,0.04,No,Low
 398-6703, no, no,110,41.23,4,No,FL,0.02,No,Low
 370-8379, no, no,192,37.67,4,No,CO,0.1,No,Low
 335-3880, no, no,93,19.43,0,No,NV,0.0,No,Low
 375-8761, no, yes,101,37.35,2,No,IN,0.0,No,Low
 367-1398, no, no,77,24.63,2,No,VA,0.03,No,Low
 395-7857, no, yes,105,40.21,2,No,UT,0.05,No,Low
 398-8745, no, yes,133,29.58,2,Yes,UT,0.61,Yes,High
 386-3717, no, no,131,18.62,1,No,MO,0.09,No,Low
 330-1175, no, yes,106,13.87,1,No,CT,0.02,No,Low
 418-6752, no, no,118,22.68,1,No,HI,0.02,No,Low
 349-6464, no, no,125,23.31,1,No,MD,0.01,No,Low
 366-7331, no, no,95,33.49,0,No,VA,0.0,No,Low
 361-8288, no, no,80,33.68,3,No,MT,0.01,No,Low
 377-6635, no, no,145,6.72,0,No,SC,0.04,No,Low
 408-1513, no, no,37,33.92,2,No,CO,0.01,No,Low
 370-7546, no, no,87,26.66,1,No,ID,0.0,No,Low
 389-4278, no, no,69,31.18,3,No,AL,0.01,No,Low
 379-3012, no, no,83,22.51,1,No,CO,0.01,No,Low
 355-3620, no, no,195,10.74,0,No,UT,0.03,No,Low
 413-7743, yes, yes,67,30.79,0,Yes,DE,0.82,Yes,Critical
 372-2296, no, yes,75,19.98,3,No,OH,0.01,No,Low
 333-9728, no, yes,123,37.18,0,No,RI,0.05,No,Low
 415-6110, no, yes,41,35.24,1,No,FL,0.07,No,Low
 340-9803, no, no,75,25.6,0,No,OH,0.0,No,Low
 400-7002, yes, no,76,46.46,1,Yes,MD,0.73,Yes,High
 395-7435, yes, no,86,45.24,1,No,IL,0.17,No,Low
 336-7143, no, no,140,19.18,0,No,PA,0.02,No,Low
 352-2175, no, no,70,17.8,3,No,AZ,0.02,No,Low
 346-6352, no, yes,121,32.95,0,No,NH,0.01,No,Low
 405-7467, no, no,112,28.66,1,No,RI,0.01,No,Low
 379-8526, no, no,118,43.04,2,No,HI,0.07,No,Low
 410-5713, no, yes,66,29.7,1,No,NJ,0.07,No,Low
 408-5916, no, no,78,14.79,0,No,WI,0.0,No,Low
 370-5626, no, yes,129,34.77,2,No,MD,0.01,No,Low
 408-1331, no, no,6,38.51,3,No,OR,0.03,No,Low
 419-9688, yes, no,107,39.8,1,No,NV,0.08,No,Low
 343-5219, yes, no,107,22.66,3,Yes,AR,0.93,Yes,Critical
 401-5586, no, no,138,22.76,1,No,MT,0.12,No,Low
 377-9178, no, no,103,27.23,0,No,CT,0.04,No,Low
 345-5639, no, yes,116,39.2,0,No,UT,0.02,No,Low
 336-3488, no, no,189,38.66,2,No,GA,0.0,No,Low
 414-6426, no, no,161,12.38,2,No,NV,0.05,No,Low
 335-5591, no, no,1,33.34,1,No,TN,0.04,No,Low
 421-9144, no, no,89,33.51,1,No,DE,0.0,No,Low
 422-7728, no, no,64,37.33,1,No,NY,0.08,No,Low
 344-3466, no, yes,126,26.08,4,Yes,MT,0.83,Yes,Critical
 398-7978, no, no,129,36.72,2,No,IA,0.0,No,Low
 346-8368, no, yes,128,37.89,0,No,VT,0.01,No,Low
 392-2722, no, yes,81,19.7,3,No,LA,0.04,No,Low
 393-3274, no, no,114,32.27,1,No,MT,0.01,No,Low
 339-4636, no, no,50,26.3,0,No,NH,0.01,No,Low
 349-7138, no, no,86,23.19,3,No,WV,0.0,No,Low
 363-3295, no, no,96,28.99,1,No,ID,0.0,No,Low
 407-9830, no, no,72,46.31,0,No,AZ,0.08,No,Low
 333-8822, no, yes,64,35.7,8,No,SC,0.21,No,Low
 419-6418, yes, yes,57,40.21,2,No,WV,0.02,No,Low
 351-8955, no, no,65,26.16,2,No,OH,0.03,No,Low
 338-1840, no, no,163,37.91,1,No,MD,0.04,No,Low
 336-6997, no, no,136,42.91,2,No,MD,0.05,No,Low
 408-6266, no, no,116,33.64,1,No,MN,0.02,No,Low
 332-4291, no, no,93,25.91,3,No,NE,0.02,No,Low
 355-7895, no, yes,142,40.36,3,No,MN,0.02,No,Low
 348-2916, no, no,92,45.15,1,No,NY,0.2,No,Low
 339-8132, no, no,70,33.54,1,No,HI,0.0,No,Low
 374-1684, no, yes,22,33.85,1,No,MO,0.05,No,Low
 362-7604, no, no,37,39.73,2,No,NV,0.0,No,Low
 389-3206, no, no,51,31.13,1,No,MA,0.06,No,Low
 336-2829, no, no,174,23.7,2,No,NH,0.01,No,Low
 403-8916, no, no,68,36.36,1,Yes,UT,0.61,Yes,High
 384-1135, no, no,130,35.21,1,No,FL,0.0,No,Low
 390-2320, no, no,104,23.75,2,No,WA,0.04,No,Low
 398-8578, no, no,134,30.12,2,No,CT,0.02,No,Low
 393-9424, no, yes,108,28.87,2,No,KY,0.03,No,Low
 417-6330, no, no,103,29.5,3,No,NM,0.02,No,Low
 340-6339, no, no,62,27.18,1,No,ND,0.02,No,Low
 380-6571, no, no,162,19.57,2,No,NV,0.0,No,Low
 368-6488, no, yes,93,23.26,2,No,CA,0.06,No,Low
 363-2193, no, no,42,15.67,1,No,ID,0.01,No,Low
 328-1206, no, yes,155,41.46,2,No,OK,0.06,No,Low
 385-3540, no, no,36,19.91,0,No,IA,0.0,No,Low
 337-7167, no, no,143,37.96,0,Yes,OH,0.72,Yes,High
 372-8405, no, no,197,26.32,3,No,NJ,0.01,No,Low
 377-1273, no, no,81,44.44,1,Yes,IA,0.89,Yes,Critical
 380-7816, yes, no,138,7.91,4,Yes,DE,0.91,Yes,Critical
 402-6744, no, yes,103,25.48,0,Yes,CA,0.53,Yes,Medium
 400-2181, yes, no,127,41.17,2,Yes,WY,0.95,Yes,Critical
 366-1613, no, no,136,44.1,1,Yes,OR,0.79,Yes,Critical
 347-8205, no, no,99,37.81,2,No,ME,0.01,No,Low
 328-2982, no, no,95,11.8,0,No,AR,0.0,No,Low
 384-8723, yes, yes,118,26.61,4,Yes,ME,0.83,Yes,Critical
 341-7686, no, no,113,10.4,5,Yes,WV,0.91,Yes,Critical
 353-6038, yes, no,128,41.68,0,No,PA,0.01,No,Low
 416-8827, no, no,117,17.39,3,No,HI,0.01,No,Low
 418-8450, no, yes,48,39.25,3,No,MT,0.04,No,Low
 385-7861, yes, no,81,38.66,0,No,DC,0.07,No,Low
 393-3507, no, no,57,32.78,1,No,AR,0.0,No,Low
 372-5262, no, no,140,27.64,1,No,MS,0.0,No,Low
 411-3095, no, yes,107,37.3,2,No,OH,0.02,No,Low
 331-5919, no, no,56,23.32,1,No,MO,0.01,No,Low
 402-1556, no, no,159,14.91,1,No,TX,0.07,No,Low
 349-7362, no, no,102,46.09,1,No,MD,0.17,No,Low
 339-2734, no, no,107,17.58,1,No,CT,0.0,No,Low
 330-4914, no, no,106,8.87,2,No,SC,0.0,No,Low
 371-2500, no, no,225,28.12,0,Yes,MI,0.67,Yes,High
 335-3681, no, no,75,25.08,2,No,SD,0.01,No,Low
 405-1132, no, no,86,37.03,0,No,CO,0.0,No,Low
 399-9239, no, no,169,40.07,1,No,ID,0.02,No,Low
 350-7227, no, yes,122,34.77,2,No,AZ,0.0,No,Low
 384-6654, no, no,106,30.33,0,No,FL,0.02,No,Low
 376-4271, no, yes,52,22.12,2,No,MN,0.02,No,Low
 391-8124, no, yes,79,17.63,2,No,DE,0.0,No,Low
 393-2524, no, no,135,40.78,2,No,MI,0.05,No,Low
 384-4385, no, no,70,25.23,0,No,MS,0.0,No,Low
 377-8266, no, no,80,25.26,2,No,MA,0.01,No,Low
 345-1243, no, no,37,32.49,0,No,CA,0.02,No,Low
 394-8086, no, yes,161,37.15,1,No,MN,0.07,No,Low
 348-9145, no, no,137,16.58,1,No,VT,0.04,No,Low
 376-5201, no, no,123,21.88,0,No,CT,0.04,No,Low
 356-2093, no, yes,80,40.22,2,No,WV,0.0,No,Low
 353-2080, no, no,94,14.6,0,No,WV,0.03,No,Low
 397-7500, no, yes,105,24.0,1,No,NE,0.0,No,Low
 414-5786, no, yes,73,33.05,0,No,NC,0.01,No,Low
 388-4282, no, no,112,28.49,2,No,NE,0.08,No,Low
 415-5132, no, no,179,39.87,1,No,IL,0.02,No,Low
 352-4541, no, no,57,26.21,1,No,MA,0.0,No,Low
 373-5928, no, yes,127,24.34,1,No,AZ,0.0,No,Low
 406-7737, yes, yes,122,36.79,1,No,SD,0.1,No,Low
 332-7607, no, yes,33,27.52,1,No,MT,0.01,No,Low
 359-7788, no, no,94,20.18,3,No,VT,0.0,No,Low
